fecha;producto;cliente;valor
2022-12-31;pr-al-52;cli-al-52;44371,2802
2022-12-31;pr-al-52;cli-al-93;45257,6928
2022-12-31;pr-al-52;cli-al-15;45105,7364
2022-12-31;pr-al-52;cli-al-72;44092,6934
2022-12-31;pr-al-52;cli-al-61;35659,1111
2022-12-31;pr-al-52;cli-al-21;35203,2417
2022-12-31;pr-al-52;cli-al-83;35659,1111
2022-12-31;pr-al-52;cli-al-87;35785,7414
2022-12-31;pr-wd-93;cli-wd-75;30,16
2022-12-31;pr-wd-93;cli-wd-75;30,96
2022-12-31;pr-wd-93;cli-wd-88;39,5
2022-12-31;pr-wd-93;cli-wd-24;33,78
2022-12-31;pr-wd-93;cli-wd-03;31,54
2022-12-31;pr-wd-93;cli-wd-22;29,74
2022-12-31;pr-wd-93;cli-wd-53;35,36
2022-12-31;pr-wd-93;cli-wd-02;39,56
2022-12-31;pr-wd-93;cli-wd-88;33,64
2022-12-31;pr-wd-93;cli-wd-30;26,94
2022-12-31;pr-wd-93;cli-wd-38;30,12
2022-12-31;pr-wd-93;cli-wd-02;41,22
2022-12-31;pr-wd-93;cli-wd-64;29,38
2022-12-31;pr-wd-93;cli-wd-60;39,68
2022-12-31;pr-wd-93;cli-wd-21;29,72
2022-12-31;pr-wd-93;cli-wd-33;37,06
2022-12-31;pr-wd-93;cli-wd-76;39,64
2022-12-30;pr-al-52;cli-al-58;43687,4763
2022-12-30;pr-al-52;cli-al-22;44118,0195
2022-12-30;pr-al-52;cli-al-89;44573,8888
2022-12-30;pr-al-52;cli-al-49;36317,589
2022-12-30;pr-wd-93;cli-wd-91;29,34
2022-12-30;pr-wd-93;cli-wd-59;27,5
2022-12-30;pr-wd-93;cli-wd-42;29,46
2022-12-30;pr-wd-93;cli-wd-92;29,56
2022-12-30;pr-wd-93;cli-wd-60;28,46
2022-12-30;pr-wd-93;cli-wd-80;25,44
2022-12-30;pr-wd-93;cli-wd-15;30,44
2022-12-30;pr-wd-93;cli-wd-62;37,1
2022-12-30;pr-wd-93;cli-wd-62;32,22
2022-12-30;pr-wd-93;cli-wd-47;28,38
2022-12-30;pr-wd-93;cli-wd-62;25,5
2022-12-29;pr-al-52;cli-al-51;37001,3929
2022-12-29;pr-al-52;cli-al-55;37204,0015
2022-12-29;pr-al-52;cli-al-64;45181,7146
2022-12-29;pr-al-52;cli-al-03;46726,6051
2022-12-29;pr-al-52;cli-al-51;46549,3225
2022-12-29;pr-al-52;cli-al-07;45055,0842
2022-12-29;pr-al-52;cli-al-21;45434,9753
2022-12-29;pr-wd-93;cli-wd-73;32,84
2022-12-29;pr-wd-93;cli-wd-39;29,38
2022-12-29;pr-wd-93;cli-wd-18;32,58
2022-12-29;pr-wd-93;cli-wd-04;28,54
2022-12-29;pr-wd-93;cli-wd-89;29,52
2022-12-29;pr-wd-93;cli-wd-60;28,46
2022-12-29;pr-wd-93;cli-wd-14;33,0
2022-12-29;pr-wd-93;cli-wd-09;31,84
2022-12-29;pr-wd-93;cli-wd-90;33,0
2022-12-29;pr-wd-93;cli-wd-53;27,4
2022-12-28;pr-al-52;cli-al-02;37001,3929
2022-12-28;pr-al-52;cli-al-84;45865,5186
2022-12-28;pr-al-52;cli-al-92;45029,7581
2022-12-28;pr-al-52;cli-al-60;45916,1707
2022-12-28;pr-al-52;cli-al-71;36722,8061
2022-12-28;pr-al-52;cli-al-44;45105,7364
2022-12-28;pr-al-52;cli-al-08;36545,5236
2022-12-28;pr-al-52;cli-al-47;37609,2187
2022-12-28;pr-al-52;cli-al-35;37102,6972
2022-12-28;pr-al-52;cli-al-78;37102,6972
2022-12-28;pr-wd-93;cli-wd-81;28,86
2022-12-28;pr-wd-93;cli-wd-36;32,92
2022-12-28;pr-dd-15;cli-dd-50;29,64
2022-12-28;pr-wd-93;cli-wd-04;28,16
2022-12-28;pr-wd-93;cli-wd-02;29,96
2022-12-28;pr-dd-15;cli-dd-06;28,8
2022-12-28;pr-dd-15;cli-dd-54;29,52
2022-12-28;pr-wd-93;cli-wd-04;34,3
2022-12-28;pr-dd-15;cli-dd-54;28,14
2022-12-28;pr-dd-15;cli-dd-93;28,28
2022-12-28;pr-dd-15;cli-dd-63;29,4
2022-12-28;pr-dd-15;cli-dd-18;28,74
2022-12-28;pr-wd-93;cli-wd-90;33,64
2022-12-28;pr-wd-93;cli-wd-44;30,4
2022-12-28;pr-wd-93;cli-wd-34;32,42
2022-12-28;pr-wd-93;cli-wd-74;26,72
2022-12-28;pr-wd-93;cli-wd-62;37,46
2022-12-28;pr-wd-93;cli-wd-14;27,7
2022-12-27;pr-al-52;cli-al-95;44928,4539
2022-12-27;pr-al-52;cli-al-48;44447,2585
2022-12-27;pr-al-52;cli-al-15;43459,5416
2022-12-27;pr-al-52;cli-al-72;43763,4545
2022-12-27;pr-al-52;cli-al-78;37279,9798
2022-12-27;pr-al-52;cli-al-87;35177,9157
2022-12-27;pr-al-52;cli-al-62;35785,7414
2022-12-27;pr-al-52;cli-al-40;35861,7197
2022-12-27;pr-wd-93;cli-wd-85;33,42
2022-12-27;pr-wd-93;cli-wd-80;32,2
2022-12-27;pr-wd-93;cli-wd-82;38,12
2022-12-27;pr-wd-93;cli-wd-53;29,5
2022-12-27;pr-dd-15;cli-dd-24;30,26
2022-12-27;pr-dd-15;cli-dd-26;29,08
2022-12-27;pr-dd-15;cli-dd-89;29,1
2022-12-27;pr-wd-93;cli-wd-60;28,94
2022-12-27;pr-wd-93;cli-wd-41;32,48
2022-12-27;pr-wd-93;cli-wd-29;31,86
2022-12-27;pr-wd-93;cli-wd-15;27,74
2022-12-27;pr-wd-93;cli-wd-45;31,42
2022-12-27;pr-wd-93;cli-wd-65;33,46
2022-12-27;pr-wd-93;cli-wd-89;28,88
2022-12-27;pr-wd-93;cli-wd-71;32,48
2022-12-27;pr-wd-93;cli-wd-09;29,68
2022-12-26;pr-al-52;cli-al-88;44345,9542
2022-12-26;pr-al-52;cli-al-01;44523,2367
2022-12-26;pr-al-52;cli-al-08;36241,6107
2022-12-26;pr-al-52;cli-al-88;35836,3936
2022-12-26;pr-al-52;cli-al-63;45662,91
2022-12-26;pr-al-52;cli-al-11;45207,0407
2022-12-26;pr-al-52;cli-al-81;36646,8279
2022-12-26;pr-al-52;cli-al-08;35811,0675
2022-12-26;pr-al-52;cli-al-35;36722,8061
